2019/02/10	ｵｰﾄ 新宿	1924	1000
2019/02/07	物販	924	-140
2019/02/05	入 地秋葉原 出 地人形町	1064	-165
2019/02/05	入 地人形町 出 地秋葉原	1229	-165
2019/02/04	＊入 地日比谷 出 地飯田橋	1394	-30
